Time,Voltage,Current,Frequency,Temperature,Fault,Confidence,Grid Health,Shutdown
07-07-2026 12:03:39,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
07-07-2026 12:19:41,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
07-07-2026 12:22:10,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
07-07-2026 12:24:08,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
07-07-2026 12:24:42,270.07,5.0,50.0,30.0,Overvoltage,94.0,40,YES
07-07-2026 12:26:19,300.07,5.0,50.0,30.0,Overvoltage,94.0,40,YES
07-07-2026 12:27:00,300.07,11.0,70.0,30.0,Overvoltage,64.0,40,YES
07-07-2026 12:30:32,240.0,11.0,30.0,30.0,Overload,69.0,45,YES
07-07-2026 12:32:40,0.0,0.0,0.0,28.0,Line Break,100.0,20,YES
07-07-2026 12:34:33,250.0,5.0,50.0,30.0,Normal,97.0,100,NO
07-07-2026 12:34:46,260.0,5.0,50.0,30.0,Normal,49.0,100,NO
07-07-2026 12:36:28,260.0,10.0,50.0,30.0,Overload,46.0,45,YES
07-07-2026 12:36:46,290.0,10.0,80.0,30.0,Overvoltage,88.0,40,YES
07-07-2026 12:38:11,150.0,5.0,50.0,30.0,Undervoltage,99.0,50,YES
07-07-2026 12:38:25,210.0,5.0,50.0,30.0,Normal,100.0,100,NO
07-07-2026 12:38:33,180.0,5.0,50.0,30.0,Undervoltage,99.0,50,YES
07-07-2026 12:40:35,275.0,15.0,50.0,45.0,Overload,52.0,45,YES
07-07-2026 12:41:05,150.0,2.0,49.0,32.0,Undervoltage,100.0,50,YES
07-07-2026 12:41:35,0.0,0.0,0.0,28.0,Line Break,100.0,20,YES
07-07-2026 12:42:23,290.0,10.0,80.0,30.0,Overvoltage,88.0,40,YES
07-07-2026 12:55:21,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
07-07-2026 20:14:47,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
07-07-2026 20:26:14,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 12:04:59,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 12:12:28,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 12:22:21,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 12:24:26,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 12:36:04,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 12:43:14,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 12:45:47,0.0,0.0,0.0,0.0,Line Break,100.0,20,YES
08-07-2026 12:51:38,0.0,0.0,0.0,0.0,Line Break,100.0,20,YES
08-07-2026 12:53:14,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 12:55:48,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 12:57:50,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
08-07-2026 13:00:49,230.0,5.0,50.0,30.0,Normal,100.0,100,NO
